service_key,final_service_units
2025-02-11_46_45,3363.670846095146
2025-01-20_17_23,1564.8203639619599
2025-01-08_02_14,1380.9999670160896
2025-01-08_08_47,1438.8711662483006
2025-01-08_09_46,3636.4909752429626
2025-01-21_45_05,1846.4118896951234
2025-02-26_47_08,1577.8612500420008
2025-01-03_02_19,2092.084946173443
2025-02-11_02_30,1802.3936046767603
2025-01-25_05_45,2375.4846515419686
2025-02-04_36_07,1496.2714750483497
2025-01-28_02_14,1344.1404540783078
2025-01-14_47_46,1795.078949252587
2025-02-04_02_16,1332.1218836566886
2025-02-20_47_43,2383.783811349603
2025-01-03_19_30,1627.5377090202307
2025-02-27_22_36,1479.1982963115136
2025-02-10_47_08,1368.0056087868643
2025-01-27_47_02,1615.8807488720943
2025-01-27_22_36,1480.5934716453542
2025-01-10_36_27,1548.576746730085
2025-02-11_46_15,1339.9701572636698
2025-02-28_42_45,1959.4559994269307
2025-01-22_30_02,1668.4884185566752
2025-01-17_09_46,4226.91099481412
2025-01-29_46_48,3480.891509707211
2025-02-27_11_36,1730.8813018770306
2025-02-19_48_45,1778.267289319836
2025-01-27_23_13,1529.0209140476422
2025-01-14_28_45,1587.567909306656
2025-01-27_46_18,1471.171435825926
2025-02-14_47_05,3840.5744806578905
2025-02-20_17_23,1304.414627294862
2025-02-07_23_13,1774.5546714352297
2025-01-27_36_12,1412.8752266220629
2025-01-11_16_02,1551.5845595778728
2025-02-04_46_33,1070.0506625868852
2025-01-11_48_46,3582.711245133358
2025-01-24_16_02,1500.435146774496
2025-01-12_23_13,1848.4764043492398
2025-02-07_46_18,2144.7343270237297
2025-02-26_09_46,3798.7121137288214
2025-02-07_47_05,3479.934291216222
2025-01-18_36_22,1492.3403391430334
2025-02-07_02_01,1608.6624815790713
2025-01-01_46_26,1839.0616809284666
2025-02-08_26_46,1705.8384743403171
2025-01-09_46_44,2772.020590137783
2025-01-04_02_21,1661.2904508272336
2025-02-08_27_36,1669.4666703925848
2025-01-03_05_47,2480.16857836096
2025-01-09_26_46,1537.360189259909
2025-01-14_20_46,1435.140167427123
2025-02-25_13_23,1739.0572831805682
2025-02-04_45_34,1405.37409095643
2025-01-20_05_45,2445.0953373637217
2025-02-15_46_15,1954.9723206329209
2025-01-16_19_02,1529.5911208916737
2025-01-07_22_36,1342.4800178450378
2025-01-21_32_19,1728.6872069123383
2025-02-13_32_19,1783.0338504324513
2025-02-27_02_40,2412.938057205777
2025-02-22_45_42,1985.8365664714536
2025-01-05_35_46,3706.22018721607
2025-01-16_26_46,1762.605124130775
2025-02-09_13_23,2701.9935407391354
2025-01-24_39_45,1694.9276954451157
2025-01-13_36_27,1324.9409791661947
2025-02-09_45_47,4095.4551360490286
2025-01-21_26_46,1735.566871294664
2025-02-08_45_05,1862.8906504582071
2025-02-03_35_46,2429.5702990280247
2025-01-03_19_02,1747.4080282802902
2025-02-06_36_12,1465.4768256914672
2025-02-04_37_36,474.45932732992435
2025-01-28_45_44,1398.929556761418
2025-02-18_46_15,1372.9673749910078
2025-02-10_45_46,3498.848250812295
2025-01-13_02_21,1502.3020093373252
2025-02-23_02_30,2841.739344098432
2025-02-22_09_45,2924.221774465673
2025-02-12_30_14,1463.710609693637
2025-02-27_41_36,1987.839802929012
2025-01-05_45_47,3801.3926058949814
2025-02-18_46_26,1566.0068568340712
2025-01-11_36_22,1514.7164975675964
2025-02-12_02_01,1387.8225610785134
2025-02-13_17_23,1312.6950938837226
2025-02-08_09_45,2751.557545248105
2025-02-17_45_05,1518.2288296062698
2025-01-03_36_27,1486.7599830585964
2025-02-14_37_36,649.6959440534471
2025-01-15_12_36,1571.804838862975
2025-01-26_02_01,1512.8933949903585
2025-01-26_02_14,1653.9910623380306
2025-02-05_36_12,1358.3865513084797
2025-01-24_02_21,1813.8387114896602
2025-01-18_44_45,1618.4430635648837
2025-02-27_47_10,1421.4641438869535
2025-01-14_03_47,1511.2188551741333
2025-02-22_06_47,1762.064245099854
2025-01-10_44_46,1993.221757968752
2025-01-30_03_47,1599.079142725729
2025-02-25_15_46,1609.9249297602098
2025-02-13_19_32,2101.4023638529393
2025-02-04_47_46,1712.667427908434
2025-01-04_47_06,1715.1852418522558
2025-02-06_01_02,1255.9955214013944
2025-01-25_28_45,2086.889094054416
2025-02-22_47_03,1963.9552119863201
2025-02-05_36_22,1154.1213542574342
2025-02-11_02_14,1343.3109037635518
2025-01-05_43_47,2525.307379777667
